					Annotator 1			Annotator 2			Annotator 3			Annotator 4			Annotator 5		
all-833467		❤	😊	💯	2	2	1	1	2	0	1	1	0	2	2	1	2	1	0
crawled-281437		❤	😭	😭	2	1	1	2	0	0	1	1	1	0	1	1	1	0	0
all-1054137		📷	❤	😭	1	1	0	1	1	1	1	1	1	1	0	2	1	0	0
all-744738		😂	😭	❤	1	1	1	2	0	0	1	1	2	2	2	0	2	0	0
crawled-388739		😊	😭	😜	2	0	1	2	0	0	2	0	1	2	0	2	2	0	0
crawled-331621		😭	😊	😎	0	2	2	0	2	1	0	2	1	1	2	2	0	1	2
crawled-187898		😊	💯	😭	1	1	0	1	0	1	0	0	1	2	2	0	0	0	1
crawled-124006		😊	😭	🔥	1	0	2	0	0	2	1	1	1	0	0	2	2	0	0
crawled-338929		😎	💯	😭	1	1	0	2	1	0	1	0	1	2	2	0	2	0	0
crawled-314233		😭	💯	✨	2	0	1	1	0	0	2	0	0	2	2	0	2	0	0
crawled-317784		😭	✨	✨	1	1	1	0	0	0	2	1	1	1	1	1	2	0	0
crawled-391979		😜	😂	😭	0	1	1	1	1	1	2	2	1	2	2	2	0	1	1
crawled-238783		👌	😭	😭	2	0	0	0	0	0	0	2	2	2	2	2	0	1	1
crawled-13390		😂	😭	😂	2	1	2	2	0	2	1	2	1	2	0	2	2	1	2
crawled-249335		😭	😭	💯	0	0	2	1	1	0	2	2	0	2	2	2	2	2	0
crawled-350804		🔥	👌	😂	1	0	1	0	0	2	1	2	1	2	2	1	0	0	2
all-836999		🔥	📷	😊	0	2	1	1	1	0	1	1	1	2	2	2	0	1	1
crawled-23302		😭	😂	💯	0	2	0	0	1	0	1	1	0	0	2	1	0	2	0
crawled-203144		😊	💯	😭	2	2	0	1	0	1	2	1	0	2	1	0	2	0	0
crawled-90586		❤	🔥	😊	2	0	2	2	0	1	2	2	2	2	1	2	2	0	1
all-849744		✨	💯	❤	1	1	1	2	0	1	1	0	1	2	2	2	2	0	2
all-1017393		😜	😊	❤	1	1	0	1	0	0	1	2	2	2	2	2	1	2	1
all-744703		❤	❤	📷	2	2	2	0	0	1	1	1	1	2	2	2	1	1	0
crawled-261593		😭	😭	🎄	0	0	0	1	1	0	1	1	0	2	2	0	1	1	0
all-1001043		😎	❤	💯	1	1	1	1	1	0	1	1	0	2	2	1	2	1	0
crawled-164079		❤	💯	😭	1	2	1	1	2	1	2	2	1	2	2	1	0	2	0
all-892422		❤	😂	😊	2	1	2	0	0	2	2	1	2	2	2	2	1	0	1
crawled-368321		😉	😭	😊	1	0	1	1	0	2	2	1	2	2	0	1	2	0	1
all-669201		❤	😎	😂	1	2	0	1	1	0	1	1	1	1	2	1	2	2	0
all-921673		😊	😜	❤	1	1	1	1	1	1	1	2	1	1	2	2	1	0	2
all-811526		😂	😊	😊	1	2	2	1	2	2	1	2	2	1	2	2	1	2	2
all-879053		❤	🔥	😊	2	0	2	0	0	1	1	1	1	2	2	2	0	1	1
crawled-387786		😜	💯	😭	2	0	0	1	0	0	2	0	1	2	1	0	1	0	0
crawled-195590		😭	😂	😊	1	1	0	1	1	1	1	1	1	0	2	1	0	1	0
crawled-121115		😭	🔥	🔥	1	0	0	1	1	1	1	1	1	0	1	1	0	2	2
all-804568		💪	💯	😎	2	1	2	2	0	1	2	0	2	2	0	2	2	0	1
all-601924		😉	💯	🔥	2	0	0	2	0	0	2	0	1	2	1	1	1	0	1
crawled-335383		😎	😭	😉	1	1	1	0	0	0	1	2	1	1	0	1	1	0	2
all-874235		❤	✨	😂	1	1	1	1	0	2	2	2	1	2	2	2	0	1	1
all-846147		🔥	📷	📷	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2
all-860221		❤	😉	😂	2	1	0	1	2	1	2	2	1	2	2	1	2	1	0
all-1054942		😂	📷	📷	1	2	2	1	1	1	1	1	1	2	1	1	0	2	2
crawled-34000		💯	😂	😭	0	1	1	0	1	0	0	1	2	1	2	0	1	0	0
all-619054		😉	😊	😉	1	2	1	1	1	1	2	2	2	2	2	2	2	1	2
crawled-394814		😜	😭	✨	1	0	1	1	0	2	1	1	2	2	0	2	2	0	1
all-926052		😎	☀	😂	2	2	1	1	2	1	2	2	1	2	2	2	1	0	1
all-741543		😊	😎	😭	1	2	0	0	2	0	1	2	0	2	2	0	1	2	0
crawled-241319		😊	😭	😭	1	0	0	0	2	2	0	2	2	1	0	0	1	1	1
all-833520		❤	🔥	📷	1	2	2	1	0	1	1	2	1	2	2	1	0	1	2
all-853958		😂	🔥	😊	1	0	2	0	1	1	1	1	2	1	2	1	0	1	2
crawled-187343		😭	😊	😂	0	0	2	1	0	2	1	0	1	0	2	2	0	1	1
all-805120		😉	😂	📷	2	0	2	2	1	1	1	1	1	2	1	1	1	1	2
all-687397		🔥	❤	😎	0	1	2	0	0	0	1	1	1	2	2	2	1	1	1
all-955207		😎	😂	😊	1	1	1	2	0	0	1	1	1	2	1	2	2	1	0
crawled-272092		😭	😭	😊	2	2	1	2	2	0	2	2	0	1	1	0	2	2	0
crawled-362093		📷	🔥	📷	2	1	2	1	1	1	1	0	1	2	2	2	2	0	2
crawled-105440		😭	😂	❤	0	2	1	0	1	2	1	1	1	1	2	1	0	1	0
crawled-375769		🔥	😉	😭	0	2	0	1	0	0	1	2	1	2	2	1	2	0	0
crawled-49248		❤	💯	😊	1	1	1	2	1	1	2	0	2	1	2	2	2	0	1
all-824953		😊	😉	💯	2	0	1	0	2	0	2	2	1	1	2	1	1	1	0
crawled-350075		😭	👌	💯	1	1	1	0	2	0	2	0	0	0	2	1	0	1	0
all-737003		📷	✨	😂	2	1	0	2	0	1	2	1	1	1	2	2	1	0	0
crawled-326655		💯	🙌	😎	2	2	2	0	2	2	1	1	1	2	2	2	2	2	2
crawled-91182		📷	❤	😂	1	1	1	1	1	1	1	1	1	0	0	2	2	1	1
crawled-360992		☀	😊	😂	1	1	0	0	2	0	2	2	1	0	1	2	0	1	1
crawled-201673		😊	😭	🎉	1	1	1	1	1	0	1	1	1	2	2	2	1	0	1
all-976424		😎	🔥	😂	1	2	0	2	2	0	1	1	1	2	2	2	0	2	1
all-942105		😂	🔥	😂	1	1	1	1	2	1	1	1	1	2	0	2	1	0	1
crawled-333819		😂	😊	😎	1	2	1	2	1	2	1	2	2	2	2	2	1	1	2
crawled-145942		😭	💯	💯	0	2	2	1	0	0	1	0	0	2	1	1	0	1	1
crawled-184448		✨	😭	😊	2	0	1	1	0	2	2	1	2	2	0	2	1	0	2
all-1008241		😂	📷	🎄	1	2	0	0	1	0	0	0	0	2	1	0	0	1	0
crawled-384800		😭	😂	😊	1	1	1	1	1	1	2	1	0	0	2	1	0	1	0
crawled-101928		❤	😂	😭	2	1	0	1	2	1	1	1	1	2	2	1	2	0	0
crawled-206288		🙌	😭	💯	2	0	0	2	0	0	1	1	1	2	0	2	1	1	0
all-912764		😊	😜	❤	1	2	1	0	2	0	2	1	2	1	2	1	0	2	1
all-892689		😜	😊	😎	0	2	1	1	2	1	1	2	1	1	1	2	0	2	0
crawled-329432		💪	😭	😎	2	0	1	2	0	1	2	1	1	2	1	2	2	1	0
crawled-288193		😭	😊	😭	1	2	1	0	2	0	2	1	2	0	2	0	1	0	1
crawled-171205		🔥	😭	😊	1	0	2	1	1	1	1	1	1	1	0	0	1	0	2
crawled-83847		☀	😭	❤	2	0	1	1	0	0	2	1	2	1	0	2	2	0	2
all-630919		😂	🔥	🔥	1	2	2	1	2	2	2	1	1	1	1	1	2	0	0
all-1047040		💯	😜	💪	2	0	2	0	0	2	1	1	2	0	1	2	0	0	2
crawled-388799		😜	💯	📷	2	0	1	1	0	1	2	0	0	2	1	0	2	0	0
crawled-328606		😭	😎	❤	1	1	2	1	0	1	1	1	1	0	1	2	2	0	1
crawled-267483		😭	😭	😊	1	1	1	2	2	0	1	1	1	0	0	2	0	0	2
crawled-1269		😭	😂	😂	1	1	1	1	2	2	2	1	1	2	2	2	1	1	1
all-895326		❤	💯	🔥	1	1	2	0	0	1	1	1	1	0	1	0	0	0	1
crawled-366173		😭	😉	😊	1	1	1	0	0	2	1	1	1	0	1	2	2	0	0
crawled-367181		😂	😉	😭	1	1	1	1	1	1	1	0	2	2	1	1	1	1	0
crawled-377663		😭	😉	😉	1	1	1	1	1	1	1	1	1	0	2	2	0	2	2
crawled-334336		😂	🔥	😎	2	0	1	1	1	1	1	2	2	2	2	2	1	1	2
all-921035		💯	🔥	🔥	2	1	1	0	1	1	1	1	1	1	2	2	0	1	1
all-899100		😊	😜	😂	2	0	0	2	0	1	1	2	2	1	2	2	1	1	2
crawled-39673		😂	😂	😊	1	1	0	2	2	0	1	1	0	2	2	1	2	2	0
crawled-245057		😭	😭	💯	2	2	0	2	2	0	2	2	0	2	2	0	2	2	0
all-882318		❤	🔥	❤	2	1	2	1	1	1	2	1	2	2	1	2	2	0	2
crawled-135607		💯	💯	😭	0	0	1	1	1	2	0	0	2	1	1	2	2	2	1
all-722743		❤	😂	😂	2	0	0	2	0	0	2	1	1	2	2	2	2	0	0
crawled-386996		😜	😉	📷	1	1	1	1	1	0	1	2	0	2	2	1	0	2	0
crawled-168836		😊	💯	😭	2	0	2	2	0	1	2	1	1	2	1	0	2	0	1
all-757912		🔥	😊	😭	1	2	0	0	0	2	1	2	0	1	2	1	0	2	0
all-918990		✨	✨	📷	2	2	2	2	2	1	2	2	1	2	2	1	2	2	0
all-937663		😂	🔥	🔥	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1
crawled-143661		😂	💯	😜	1	0	1	0	0	1	1	0	1	2	0	2	1	0	2
crawled-291844		😭	💯	😭	0	0	0	1	0	1	2	0	2	2	0	2	1	0	1
crawled-330558		😎	😭	😂	1	0	0	2	0	1	1	1	1	2	0	2	2	0	1
all-755950		🔥	❤	📷	0	1	2	2	0	1	1	1	1	2	0	2	1	0	2
crawled-188248		😉	😊	😭	2	2	0	2	2	0	2	2	0	2	2	0	1	2	0
crawled-371955		😉	❤	😂	1	2	1	1	2	1	2	2	1	2	2	2	1	2	0
crawled-390833		😭	😜	😂	0	1	1	0	1	1	1	1	1	0	2	2	0	2	1
crawled-99761		😂	😊	❤	1	2	2	1	2	1	1	1	1	1	2	2	1	2	1
all-993761		❤	😂	😎	0	0	0	1	0	2	1	1	1	0	1	1	1	0	2
crawled-336887		😎	😎	😭	2	2	0	2	2	0	1	1	1	2	2	0	2	2	0
crawled-360834		☀	😊	😭	1	2	0	0	2	0	0	2	1	1	2	0	1	2	0
crawled-141027		😭	😂	💯	0	0	0	0	1	1	1	2	0	0	2	1	0	2	0
crawled-189214		😊	😭	😊	0	2	0	0	2	0	0	2	0	0	2	0	0	2	0
crawled-368279		😂	😉	😉	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1
crawled-268024		😭	😭	😂	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2
crawled-102784		❤	😭	💯	1	0	2	0	1	1	2	1	0	0	1	0	1	1	0
crawled-130934		📷	😊	💯	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1
crawled-316062		✨	✨	😭	1	1	0	2	2	0	2	2	1	2	2	0	2	2	1
crawled-351606		😂	👌	📷	1	0	2	1	2	1	1	0	2	2	2	2	1	0	2
crawled-198061		😊	😭	😎	0	0	0	1	0	2	0	1	1	2	0	1	1	0	2
crawled-13907		😭	😂	😊	1	0	0	2	1	1	1	1	0	2	2	0	2	1	0
all-877867		😎	😂	😂	1	2	2	2	1	1	1	1	1	2	2	2	1	2	2
crawled-325252		📷	😎	💯	0	2	0	0	1	1	0	1	0	0	2	1	0	2	1
crawled-333762		😊	😎	😂	0	0	0	1	2	1	1	1	1	2	2	2	1	2	1
crawled-125592		😭	🔥	🔥	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1
crawled-293172		😭	😭	😂	0	0	0	1	1	0	2	2	1	2	2	2	2	2	1
all-879638		💯	😂	🔥	0	0	0	2	1	1	2	1	1	1	2	0	2	0	1
all-762602		😭	😎	📷	1	0	0	1	0	0	2	1	1	0	1	0	0	1	2
crawled-247666		😊	😭	😭	0	2	2	0	1	1	0	2	2	2	2	2	0	2	2
crawled-132067		😭	💯	😂	2	1	0	1	0	0	2	0	1	2	0	2	2	0	1
crawled-161503		💯	😂	🔥	0	0	0	0	2	1	0	1	1	0	2	0	0	2	0
crawled-70651		❤	😭	❤	0	0	0	1	1	1	1	2	1	2	0	2	1	2	1
all-599175		❤	😂	❤	0	0	0	1	2	1	2	1	2	2	2	2	2	1	2
crawled-390231		☀	😊	😜	1	1	1	1	1	1	0	1	1	0	2	1	0	1	2
crawled-327274		🔥	😎	😊	1	2	2	2	1	2	1	1	2	1	2	2	2	1	1
crawled-30258		🔥	😂	😂	0	0	0	1	1	1	1	1	1	0	1	1	0	2	2
all-768701		😂	☀	😭	2	1	0	1	2	0	1	2	1	2	2	0	2	2	0
crawled-372526		😉	😂	😉	2	0	2	2	1	2	1	1	1	2	2	2	2	1	2
crawled-380089		😂	😭	😉	0	0	0	1	1	2	1	1	2	2	1	2	2	0	0
crawled-257215		😭	😂	😭	0	0	0	1	1	1	1	1	1	2	2	2	1	2	1
all-651830		😂	😊	❤	2	0	0	1	2	2	1	1	1	2	2	2	2	0	2
crawled-381497		😭	😊	💯	1	2	2	1	2	2	1	1	1	0	2	2	0	1	2
crawled-277485		😊	😭	😭	2	1	1	0	1	1	0	1	1	2	2	2	2	0	0
all-919791		🔥	😎	❤	2	2	2	0	2	1	1	1	1	1	2	2	1	2	1
all-683501		✨	😂	😉	0	0	0	1	2	1	1	1	1	2	2	0	1	2	1
crawled-287059		😭	❤	😭	0	1	0	2	1	2	2	1	2	2	2	2	2	1	2
all-799173		🔥	🔥	📷	0	0	0	2	2	0	2	2	1	1	1	1	2	2	0
crawled-344151		😭	🙏	🙏	0	2	2	0	2	2	1	1	1	0	2	2	0	2	2
crawled-194469		😭	😊	😊	0	2	2	0	2	2	1	2	2	1	2	2	0	2	2
all-682420		☀	😎	💯	1	1	2	1	2	1	0	1	0	1	2	2	2	2	0
crawled-102981		❤	🙌	🙌	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2
all-640554		😊	😊	📷	2	2	0	2	2	1	1	1	1	2	2	1	2	2	1
